data_extracao,data_relatorio,nome_gestora,fonte_documento,pais_regiao,classe_ativo,subclasse_ativo,visao_sentimento,tese_principal
2025-09-19,22 August 2025,WS Global CIO Office,A delicate balancing act .pdf,Global,Ações,Global,Otimista,"Manter-se otimista em relação às ações nos próximos 6 a 12 meses, mas riscos de curto prazo ainda pairam. Fundamentos e modelos quantitativos são otimistas para ações, mas permanecemos vigilantes em relação aos riscos de sazonalidade, política e posicionamento de investidores no curto prazo. Rodar dos EUA para ações da Ásia, exceto Japão. Veríamos altas nas ações dos EUA como oportunidades para reduzir a exposição excessiva dos EUA e girar para ações da Ásia, exceto Japão. Ações no Japão e na Europa permanecem como participações principais."
2025-09-19,22 August 2025,WS Global CIO Office,A delicate balancing act .pdf,Global,Títulos,Mercado Emergente,Otimista,"Concentrar-se em títulos em moeda local de mercados emergentes e capturar o rendimento em títulos em dólares americanos. Prêmios de rendimento apertados em títulos corporativos significam que nossa estratégia preferida de títulos é travar os rendimentos por mais tempo, preferindo títulos de alta qualidade a dinheiro. Concentrar-se em perfis de maturidade média e adicionar títulos em moeda local de mercados emergentes."
2025-09-19,22 August 2025,WS Global CIO Office,A delicate balancing act .pdf,Global,Ações,EUA,Neutro,"Manter uma posição principal em ações dos EUA. O aumento sustentado das margens de lucro em ações de crescimento importantes, impulsionado por investimentos relacionados à IA, ocorre apesar da deterioração dos indicadores líderes e das incertezas tarifárias prolongadas, que pesam sobre o crescimento econômico. Sugere-se reduzir a superconcentração excessiva em ações dos EUA e aumentar a exposição após uma consolidação de mercado."
2025-09-19,22 August 2025,WS Global CIO Office,A delicate balancing act .pdf,Ásia (exceto Japão),Ações,Ásia (exceto Japão),Otimista,"Manter uma visão de sobrepeso em ações da Ásia, exceto Japão, dentro da qual mantemos uma alocação diversificada. A desescalada das tensões comerciais e um dólar fraco são fatores de apoio, que poderiam ajudar a reduzir a diferença de avaliação entre a Ásia, exceto Japão, e as ações globais. Dentro da Ásia, exceto Japão, permanecemos otimistas em relação às ações chinesas. A temporada de resultados positivos do segundo trimestre de 2025 até agora, juntamente com a extensão adicional da trégua comercial EUA-China e o relaxamento das restrições dos EUA às exportações de semicondutores para a China, são bons presságios para o sentimento do mercado. Além disso, os desenvolvimentos contínuos de IA e os estímulos de política continuam a alimentar uma nova onda de melhorias de produtividade, o que deve apoiar os lucros corporativos e aumentar a atratividade das ações chinesas. As ações da Coreia permanecem com sobrepeso. O programa do governo para valorização e o crescimento resiliente dos lucros servem como catalisadores importantes para este mercado. A Coreia deve apresentar o maior crescimento de lucros na região em 2026. Além disso, o recente acordo comercial EUA-Coreia proporcionou maior certeza política. Esses fatores são refletidos nos fluxos de capital, com entradas líquidas estrangeiras em julho atingindo uma alta de 17 meses."
2025-09-19,22 August 2025,WS Global CIO Office,A delicate balancing act .pdf,Global,Títulos,Global,Neutro,"Os títulos globais permanecem uma alocação principal em nossas carteiras principais. A expectativa crescente de um corte de 25 pontos base nas taxas do Fed na reunião de setembro, devido à fraqueza dos dados de crescimento, exerceu pressão de baixa sobre as taxas de juros de curto prazo. Isso também provavelmente ampliará a diferença de rendimento entre títulos de curto e longo prazo, pois os rendimentos dos títulos de curto prazo são limitados pelas expectativas de corte de taxas. Os cortes de taxas do Fed também reduzirão os retornos futuros em depósitos em dinheiro. Portanto, vemos uma oportunidade de travar os rendimentos ainda elevados por meio de títulos, à medida que os retornos em dinheiro diminuem gradualmente. Esperamos que o rendimento do título do Tesouro americano de 10 anos seja negociado na faixa de 4,00% a 4,25% nos próximos 6 a 12 meses, à medida que o déficit fiscal e as preocupações com a inflação de curto prazo impulsionam os rendimentos de maior prazo. Dado isso, acreditamos que as maturidades de títulos de 5 a 7 anos oferecem os melhores retornos ajustados ao risco, equilibrando rendimentos atraentes e riscos fiscais/inflacionários."
2025-09-19,22 August 2025,WS Global CIO Office,A delicate balancing act .pdf,Global,Moedas,Dólar,Pessimista,"Esperamos que o dólar se fortaleça gradualmente nos próximos 1 a 3 meses, mas mantemos nossa visão de um dólar fraco em um horizonte de 6 a 12 meses. Anteriormente, sinalizamos um risco de aperto para o índice do dólar (DXY), mas o posicionamento agora parece estar fora de seus extremos. No curto prazo, o dólar está se mantendo dentro de um canal de tendência de alta pouco profundo e o DXY parece estar se aproximando de 99,5. No entanto, não esperamos uma quebra sustentada acima de 100 e continuamos a ver a força recente como uma oportunidade para restabelecer as visões de um dólar fraco. Em um horizonte mais longo de 6 a 12 meses, continuamos a ver um dólar mais fraco devido à imprevisibilidade da política dos EUA, ao crescimento mais fraco dos EUA e à provável retomada dos cortes de taxas do Fed a partir de setembro."
2025-09-19,22 August 2025,WS Global CIO Office,A delicate balancing act .pdf,EUA,Ações,Tecnologia,Otimista,"Iniciaríamos uma posição oportunista no setor de tecnologia dos EUA após uma queda de 5%*. A fraqueza sazonal do mercado poderia criar essa oportunidade, enquanto somos positivos em relação ao setor em um horizonte de 6 a 12 meses. O crescimento dos lucros continua a ser favorável, pois o crescimento nos gastos com IA apoia a indústria de semicondutores e os fornecedores de serviços em nuvem. As empresas de software continuam a integrar a IA em seus produtos e desenvolvimento, incluindo o lançamento de agentes de IA, que podem interagir e tomar decisões como uma pessoa."

"August 22, 2025",Citi Wealth Investments,Estados Unidos,Renda Fixa,Duração,Pessimista,"A posição de duration underweight é justificada pela expectativa de cortes de juros pelo Fed, que deverão apoiar ativos sensíveis a custos de financiamento, mas com o risco de re-acelerar a inflação e pressionar as taxas de longo prazo para cima.",2025-09-19,Markets celebrate Powell’s dovish tilt .pdf
"August 22, 2025",Citi Wealth Investments,Estados Unidos,Ações,,Neutro,"Embora cortes de juros esperados pelo Fed impulsionem o apetite por risco e levem a altas em áreas sensíveis à taxa de juros do mercado de ações, a sustentabilidade desta alta é questionada devido ao crescimento mais lento e inflação elevada.  A visão é construtiva a médio prazo em temas como IA e desregulamentação, preferindo ações de qualidade com estruturas de margem resilientes.",2025-09-19,Markets celebrate Powell’s dovish tilt .pdf
